0,1,2,3,4,5,6,7,8
,,Product number,Product number,"Shell
size","Number of contacts
Number # AWG size","MIL-designation
D38999/26T","Keying
*)",Remarks
,,RNTM2240004/21160,Product number,21 (G),16 #16,G16SN,N,
,,RNTM2240004/21390,Product number,21 (G),"2 #16, 37 #20",G39SN,N,
,,RNTM2240004/21391,Product number,21 (G),"2 #16, 37 #20",G39SA,A,
,,RNTM2240004/21410,Product number,21 (G),41 #20,G41SN,N,
,,RNTM2240004/23210,Product number,23 (H),21 #16,H21SN,N,
,,RNTM2240004/23350,Product number,23 (H),100 #22D,H35SN,N,
,,RNTM2240004/25040,Product number,25 (J),"8#16, 48 #20",J04SN,N,
,,RNTM2240004/25190,Product number,25 (J),19 #12,J19SN,N,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","RNTM2240004/25350 25 (J) 128 #22D J35SN N
3 #8 Twinax, 4 #12
RNTM2240004/25200 25 (J) J20SN N
Coax, 13 #16, 10 #20
RNTM2240004/25610 25 (J) 61 #20 J61SN N
*) N = Normal, A, B, C, D and E are alternative keying positions.
5 Revision record",RNTM2240004/25350,Product number,25 (J),128 #22D,J35SN,N,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","RNTM2240004/25350 25 (J) 128 #22D J35SN N
3 #8 Twinax, 4 #12
RNTM2240004/25200 25 (J) J20SN N
Coax, 13 #16, 10 #20
RNTM2240004/25610 25 (J) 61 #20 J61SN N
*) N = Normal, A, B, C, D and E are alternative keying positions.
5 Revision record",RNTM2240004/25200,Product number,25 (J),"3 #8 Twinax, 4 #12
Coax, 13 #16, 10 #20",J20SN,N,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","RNTM2240004/25350 25 (J) 128 #22D J35SN N
3 #8 Twinax, 4 #12
RNTM2240004/25200 25 (J) J20SN N
Coax, 13 #16, 10 #20
RNTM2240004/25610 25 (J) 61 #20 J61SN N
*) N = Normal, A, B, C, D and E are alternative keying positions.
5 Revision record",RNTM2240004/25610,Product number,25 (J),61 #20,J61SN,N,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",Rev,RNTM2240004/25610,Description,25 (J),61 #20,J61SN,N,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",A,RNTM2240004/25610,First revision,25 (J),61 #20,J61SN,N,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",B,RNTM2240004/25610,Product number RNTM2240004/11350 has been added.,25 (J),61 #20,J61SN,N,
,B,RNTM2240004/25610,Product number RNTM2240004/11350 has been added.,25 (J),61 #20,J61SN,N,
,C,RNTM2240004/25610,Product number RNTM2240004/17990 has been added.,25 (J),61 #20,J61SN,N,
,D,RNTM2240004/25610,Product number RNTM2240004/13350 has been added.,25 (J),61 #20,J61SN,N,
,E,RNTM2240004/25610,Product numbers RNTM2240004/09350 and RNTM2240004/09351 has been added.,25 (J),61 #20,J61SN,N,
,F,RNTM2240004/25610,Product number RNTM2240004/25040 has been added,25 (J),61 #20,J61SN,N,
,G,RNTM2240004/25610,Product number RNTM2240004/15051 has been added,25 (J),61 #20,J61SN,N,
,H,RNTM2240004/25610,Product number RNTM2240004/15050 has been added,25 (J),61 #20,J61SN,N,
,J,RNTM2240004/25610,"Para 4; added column ‘Keying’ and text under table.
Added several Product numbers.",25 (J),61 #20,J61SN,N,
,K,RNTM2240004/25610,Product number RNTM2240004/25200 has been added,25 (J),61 #20,J61SN,N,
,L,RNTM2240004/25610,Product number RNTM2240004/15351 and RNTM2240004/09981 has been added,25 (J),61 #20,J61SN,N,
,M,RNTM2240004/25610,Product number RNTM2240004/21391 added.,25 (J),61 #20,J61SN,N,
,N,RNTM2240004/25610,"Product number RNTM2240004/25350 added. Changed document classification and
added/changed paragraph 3. Added authorisation.",25 (J),61 #20,J61SN,N,
,S,RNTM2240004/25610,Added RNTM2240004/25190 and updated para 1 and 4.,25 (J),61 #20,J61SN,N,
,T,RNTM2240004/25610,Added RNTM2240004/21160 in para 4.,25 (J),61 #20,J61SN,N,
